Dataset,Keys,Variant,Read_ns,Build_ms,Bound,MAE,FinalLoss
Books,100000,NLI-Linear,72.593920,4.368800,65,0.000000,0.000000
Books,100000,NLI-NoDrift,120.519680,46.239000,64,14.706564,0.000000
Books,100000,NLI-Full,145.159680,101.433900,64,14.706564,0.000000
Books,100000,NLI,80.102400,60.540800,64,14.706564,0.000000
Facebook,100000,NLI-Linear,81.228800,1.524300,512,0.000000,0.000000
Facebook,100000,NLI-NoDrift,101.836800,59.519100,512,279.708969,0.000013
Facebook,100000,NLI-Full,107.932160,71.611500,512,279.708969,0.000013
Facebook,100000,NLI,106.826240,52.598500,512,279.708969,0.000013
WikiTS,100000,NLI-Linear,90.680320,1.669900,512,0.000000,0.000000
WikiTS,100000,NLI-NoDrift,124.515840,32.852100,512,147.627358,0.000004
WikiTS,100000,NLI-Full,95.756800,49.843000,512,147.627358,0.000004
WikiTS,100000,NLI,95.746560,49.995200,512,147.627358,0.000004
