Dataset,Keys,Detector,WithDrift_ns,NoDrift_ns,Overhead_pct
Books,100000,Ensemble,78.481920,74.301440,5.626378
Books,100000,EWMA,80.189440,74.301440,7.924476
Books,100000,PSI,77.795840,74.301440,4.703004
Books,100000,KS,77.895680,74.301440,4.837376
Books,100000,AE,81.318400,74.301440,9.443908
Facebook,100000,Ensemble,107.553280,101.813760,5.637273
Facebook,100000,EWMA,103.459840,101.813760,1.616756
Facebook,100000,PSI,104.440320,101.813760,2.579769
Facebook,100000,KS,104.017920,101.813760,2.164894
Facebook,100000,AE,105.221120,101.813760,3.346660
WikiTS,100000,Ensemble,93.831680,93.196800,0.681225
WikiTS,100000,EWMA,95.288320,93.196800,2.244197
WikiTS,100000,PSI,94.566400,93.196800,1.469578
WikiTS,100000,KS,96.473600,93.196800,3.516001
WikiTS,100000,AE,96.668160,93.196800,3.724763
