Dataset,Keys,Algorithm,Insert_ns
Books,100000,B-Tree,454.760000
Books,100000,ALEX,4445.380000
Books,100000,PGM,1137.060000
Books,100000,RMI,833.840000
Books,100000,NLI,6539.960000
Books,1000000,B-Tree,504.960000
Books,1000000,ALEX,115.960000
Books,1000000,PGM,4828.620000
Books,1000000,RMI,742.520000
Books,1000000,NLI,5945.580000
Facebook,100000,B-Tree,221.040000
Facebook,100000,ALEX,169.180000
Facebook,100000,PGM,1939.800000
Facebook,100000,RMI,253.520000
Facebook,100000,NLI,5312.800000
Facebook,1000000,B-Tree,262.800000
Facebook,1000000,ALEX,266.440000
Facebook,1000000,PGM,9239.020000
Facebook,1000000,RMI,1151.940000
Facebook,1000000,NLI,7596.120000
WikiTS,100000,B-Tree,217.400000
WikiTS,100000,ALEX,130.260000
WikiTS,100000,PGM,1008.340000
WikiTS,100000,RMI,406.900000
WikiTS,100000,NLI,5386.640000
WikiTS,1000000,B-Tree,233.040000
WikiTS,1000000,ALEX,191.220000
WikiTS,1000000,PGM,7268.640000
WikiTS,1000000,RMI,759.380000
WikiTS,1000000,NLI,5827.200000
